dI_dt,Vout_droop,ripple_RMS,efficiency,dEff_dT,time_s,fault_label
0.07175501387751523,0.006529061568713778,0.00793412867236815,0.87974007731953,-35.13516865786043,0.00095,0
0.06744712907977869,0.009222796886852814,0.011277067608110527,0.8801755733604208,294.47629037160783,0.0019499999999999997,0
0.09238684352015628,0.009054950899857772,0.011759454452038465,0.8804390346536464,-141.4641014241301,0.0029500000000000004,0
0.1183966590921195,0.00829782764814071,0.010066731117221412,0.8802550134514313,-313.3669044977984,0.0039499999999999995,0
0.1306249753288102,0.0064553347882093885,0.008002856368738601,0.879724251064002,-6.860490620813221,0.00495,0
0.1455432964072372,0.0046939916062640474,0.005340429648121336,0.88014856338407,257.0322637546653,0.0059499999999999996,0
0.141579438052436,0.005541593052978988,0.006172091086167946,0.8806298123265988,373.1416205486577,0.00695,0
0.11926012314609986,0.006522588627738602,0.007913750460373114,0.8811422581660411,696.166366899831,0.007949999999999999,0
0.12366904007278058,0.006758256926703976,0.007842888384053765,0.8807401822747793,-284.8972938892083,0.00895,0
0.10005721585806067,0.007155801656284844,0.009193585290055255,0.8800039198992267,196.39867307495956,0.009949999999999999,0
0.08431329671024848,0.007089999623730492,0.009217686144179584,0.8803844914192073,73.17763473781288,0.010949999999999998,0
0.14226038661061371,0.007208322534202139,0.008456991154600359,0.8800298014240928,-324.9634401983277,0.011949999999999999,0
0.13482902193737087,0.00775513110667232,0.008435741274683791,0.8802036455376593,-464.37976500768946,0.01295,0
0.07506373356687632,0.0064467636181512415,0.007270525886911462,0.8800098966784125,-356.7709463093438,0.01395,0
0.11752213048175006,0.0073173431637361345,0.008863311028724641,0.8802104571976889,-82.66447504315136,0.01495,0
0.1275774262654552,0.008087961866302718,0.010553999715120159,0.8802782325279113,67.94516405285495,0.01595,0
0.11089825446808518,0.006774841328766134,0.009473408946418313,0.8796829481574953,364.3899980848571,0.01695,0
0.09130871708354085,0.005255577946575207,0.0063276688799413375,0.8802363916399827,-41.899070641463666,0.01795,0
0.08949939497050147,0.005742336167637552,0.006527915495820941,0.8805046805600222,-78.38717267467734,0.01895,0
0.08396915538554642,0.00851924633582688,0.009659915947919488,0.8796845791598175,297.4435145705976,0.01995,0
0.0748247851673194,0.008896035876900067,0.010841349255815945,0.8790593032432961,-274.1300190249346,0.020949999999999996,0
0.09277498751463693,0.009963202824499317,0.012656443893133617,0.8802713290910432,-297.07663190677187,0.021949999999999997,0
0.09502642296635251,0.009323918216502558,0.012187246367877207,0.8817310051114436,-16.334434674134947,0.022949999999999998,0
0.07503847077269687,0.006069938397725938,0.007813007250397056,0.880809954452247,80.96111292952389,0.02395,0
